,Date,Births,Moon
389,January 24 2001,12244,Not Full
390,January 25 2001,12570,Not Full
391,January 26 2001,12191,Not Full
392,January 27 2001,8795,Not Full
393,January 28 2001,7761,Not Full
394,January 29 2001,11513,Not Full
395,January 30 2001,12488,Not Full
396,January 31 2001,12477,Not Full
397,February 1 2001,12477,Not Full
398,February 2 2001,12470,Not Full
399,February 3 2001,8650,Not Full
400,February 4 2001,7716,Not Full
401,February 5 2001,11825,Not Full
402,February 6 2001,12536,Not Full
403,February 7 2001,12343,Not Full
404,February 8 2001,12390,Full
405,February 9 2001,12343,Not Full
406,February 10 2001,8791,Not Full
407,February 11 2001,7563,Not Full
408,February 12 2001,11670,Not Full
409,February 13 2001,12267,Not Full
410,February 14 2001,13191,Not Full
411,February 15 2001,12632,Not Full
412,February 16 2001,12355,Not Full
413,February 17 2001,8609,Not Full
414,February 18 2001,7555,Not Full
415,February 19 2001,10522,Not Full
416,February 20 2001,12373,Not Full
417,February 21 2001,12492,Not Full
418,February 22 2001,12482,Not Full
419,February 23 2001,12242,Not Full
420,February 24 2001,8656,Not Full
421,February 25 2001,7794,Not Full
422,February 26 2001,11332,Not Full
423,February 27 2001,12334,Not Full
424,February 28 2001,12209,Not Full
425,March 1 2001,12530,Not Full
426,March 2 2001,12383,Not Full
427,March 3 2001,8935,Not Full
428,March 4 2001,7799,Not Full
429,March 5 2001,11411,Not Full
430,March 6 2001,12339,Not Full
431,March 7 2001,12351,Not Full
432,March 8 2001,12440,Not Full
433,March 9 2001,12461,Full
434,March 10 2001,8807,Not Full
435,March 11 2001,7697,Not Full
436,March 12 2001,11595,Not Full
437,March 13 2001,12534,Not Full
438,March 14 2001,12578,Not Full
439,March 15 2001,12525,Not Full
440,March 16 2001,12460,Not Full
441,March 17 2001,9006,Not Full
442,March 18 2001,7526,Not Full
443,March 19 2001,11352,Not Full
444,March 20 2001,12868,Not Full
445,March 21 2001,12690,Not Full
446,March 22 2001,12472,Not Full
447,March 23 2001,12432,Not Full
448,March 24 2001,8830,Not Full
449,March 25 2001,7800,Not Full
450,March 26 2001,11290,Not Full
451,March 27 2001,12570,Not Full
452,March 28 2001,12469,Not Full
453,March 29 2001,12366,Not Full
454,March 30 2001,12059,Not Full
455,March 31 2001,8770,Not Full
456,April 1 2001,7212,Not Full
457,April 2 2001,11673,Not Full
458,April 3 2001,12864,Not Full
459,April 4 2001,12655,Not Full
460,April 5 2001,12438,Not Full
461,April 6 2001,12407,Not Full
462,April 7 2001,8755,Full
463,April 8 2001,7718,Not Full
464,April 9 2001,11617,Not Full
465,April 10 2001,13031,Not Full
466,April 11 2001,12912,Not Full
467,April 12 2001,12733,Not Full
468,April 13 2001,10881,Not Full
469,April 14 2001,8262,Not Full
470,April 15 2001,7230,Not Full
471,April 16 2001,11220,Not Full
472,April 17 2001,12867,Not Full
473,April 18 2001,12381,Not Full
474,April 19 2001,12257,Not Full
475,April 20 2001,12296,Not Full
476,April 21 2001,8849,Not Full
477,April 22 2001,7758,Not Full
478,April 23 2001,11672,Not Full
479,April 24 2001,12981,Not Full
480,April 25 2001,12728,Not Full
481,April 26 2001,12560,Not Full
482,April 27 2001,12335,Not Full
483,April 28 2001,8574,Not Full
484,April 29 2001,7602,Not Full
485,April 30 2001,11416,Not Full
486,May 1 2001,13037,Not Full
487,May 2 2001,12542,Not Full
488,May 3 2001,12596,Not Full
489,May 4 2001,12276,Not Full
490,May 5 2001,8795,Not Full
491,May 6 2001,8001,Not Full
492,May 7 2001,11635,Full
493,May 8 2001,13032,Not Full
494,May 9 2001,12477,Not Full
495,May 10 2001,12632,Not Full
496,May 11 2001,12296,Not Full
497,May 12 2001,8692,Not Full
498,May 13 2001,7479,Not Full
499,May 14 2001,11577,Not Full
500,May 15 2001,13124,Not Full
501,May 16 2001,12625,Not Full
502,May 17 2001,12630,Not Full
503,May 18 2001,12313,Not Full
504,May 19 2001,8803,Not Full
505,May 20 2001,7732,Not Full
506,May 21 2001,11680,Not Full
507,May 22 2001,13047,Not Full
508,May 23 2001,12936,Not Full
509,May 24 2001,13179,Not Full
510,May 25 2001,12722,Not Full
511,May 26 2001,8911,Not Full
512,May 27 2001,7529,Not Full
513,May 28 2001,7993,Not Full
514,May 29 2001,12013,Not Full
515,May 30 2001,13334,Not Full
516,May 31 2001,13051,Not Full
517,June 1 2001,12677,Not Full
518,June 2 2001,8920,Not Full
519,June 3 2001,7887,Not Full
520,June 4 2001,11500,Not Full
521,June 5 2001,12683,Full
522,June 6 2001,12804,Not Full
523,June 7 2001,12566,Not Full
524,June 8 2001,12451,Not Full
525,June 9 2001,8756,Not Full
526,June 10 2001,7674,Not Full
527,June 11 2001,11776,Not Full
528,June 12 2001,13218,Not Full
529,June 13 2001,12342,Not Full
530,June 14 2001,12655,Not Full
531,June 15 2001,12394,Not Full
532,June 16 2001,8780,Not Full
533,June 17 2001,7722,Not Full
534,June 18 2001,11756,Not Full
535,June 19 2001,12785,Not Full
536,June 20 2001,12704,Not Full
537,June 21 2001,12615,Not Full
538,June 22 2001,12299,Not Full
539,June 23 2001,8452,Not Full
540,June 24 2001,7639,Not Full
541,June 25 2001,11575,Not Full
542,June 26 2001,12939,Not Full
543,June 27 2001,12809,Not Full
544,June 28 2001,13059,Not Full
545,June 29 2001,12922,Not Full
546,June 30 2001,9247,Not Full
547,July 1 2001,8145,Not Full
548,July 2 2001,12390,Not Full
549,July 3 2001,13364,Not Full
550,July 4 2001,9608,Not Full
551,July 5 2001,12531,Full
552,July 6 2001,13151,Not Full
553,July 7 2001,9544,Not Full
554,July 8 2001,8249,Not Full
555,July 9 2001,12036,Not Full
556,July 10 2001,13614,Not Full
557,July 11 2001,13026,Not Full
558,July 12 2001,13188,Not Full
559,July 13 2001,12187,Not Full
560,July 14 2001,9269,Not Full
561,July 15 2001,8047,Not Full
562,July 16 2001,12383,Not Full
563,July 17 2001,13657,Not Full
564,July 18 2001,13241,Not Full
565,July 19 2001,13293,Not Full
566,July 20 2001,12950,Not Full
567,July 21 2001,9410,Not Full
568,July 22 2001,8116,Not Full
569,July 23 2001,12099,Not Full
570,July 24 2001,13532,Not Full
571,July 25 2001,12988,Not Full
572,July 26 2001,13022,Not Full
573,July 27 2001,12677,Not Full
574,July 28 2001,9102,Not Full
575,July 29 2001,7892,Not Full
576,July 30 2001,12150,Not Full
577,July 31 2001,13218,Not Full
578,August 1 2001,12960,Not Full
579,August 2 2001,13097,Not Full
580,August 3 2001,12859,Not Full
581,August 4 2001,9143,Full
582,August 5 2001,8062,Not Full
583,August 6 2001,12008,Not Full
584,August 7 2001,13488,Not Full
585,August 8 2001,13185,Not Full
586,August 9 2001,13339,Not Full
587,August 10 2001,13094,Not Full
588,August 11 2001,9275,Not Full
589,August 12 2001,8261,Not Full
590,August 13 2001,11682,Not Full
591,August 14 2001,13325,Not Full
592,August 15 2001,13332,Not Full
593,August 16 2001,13372,Not Full
594,August 17 2001,13102,Not Full
595,August 18 2001,9294,Not Full
596,August 19 2001,7945,Not Full
597,August 20 2001,12313,Not Full
598,August 21 2001,13590,Not Full
599,August 22 2001,13146,Not Full
600,August 23 2001,13158,Not Full
601,August 24 2001,12996,Not Full
602,August 25 2001,9229,Not Full
603,August 26 2001,8115,Not Full
604,August 27 2001,12080,Not Full
605,August 28 2001,13792,Not Full
606,August 29 2001,13160,Not Full
607,August 30 2001,13520,Not Full
608,August 31 2001,13461,Not Full
609,September 1 2001,9248,Not Full
610,September 2 2001,8239,Full
611,September 3 2001,8115,Not Full
612,September 4 2001,12501,Not Full
613,September 5 2001,14055,Not Full
614,September 6 2001,13925,Not Full
615,September 7 2001,13721,Not Full
616,September 8 2001,9344,Not Full
617,September 9 2001,8347,Not Full
618,September 10 2001,12459,Not Full
619,September 11 2001,13590,Not Full
620,September 12 2001,13149,Not Full
621,September 13 2001,13186,Not Full
622,September 14 2001,13444,Not Full
623,September 15 2001,9662,Not Full
624,September 16 2001,8319,Not Full
625,September 17 2001,12664,Not Full
626,September 18 2001,13526,Not Full
627,September 19 2001,13575,Not Full
628,September 20 2001,13750,Not Full
629,September 21 2001,13341,Not Full
630,September 22 2001,9607,Not Full
631,September 23 2001,8495,Not Full
632,September 24 2001,12564,Not Full
633,September 25 2001,14063,Not Full
634,September 26 2001,13441,Not Full
635,September 27 2001,13199,Not Full
636,September 28 2001,13174,Not Full
637,September 29 2001,9243,Not Full
638,September 30 2001,8042,Not Full
639,October 1 2001,12425,Not Full
640,October 2 2001,13523,Full
641,October 3 2001,13056,Not Full
642,October 4 2001,13182,Not Full
643,October 5 2001,12851,Not Full
644,October 6 2001,8872,Not Full
645,October 7 2001,7744,Not Full
646,October 8 2001,11531,Not Full
647,October 9 2001,12886,Not Full
648,October 10 2001,12858,Not Full
649,October 11 2001,12568,Not Full
650,October 12 2001,12676,Not Full
651,October 13 2001,8659,Not Full
652,October 14 2001,7753,Not Full
653,October 15 2001,11649,Not Full
654,October 16 2001,12770,Not Full
655,October 17 2001,12599,Not Full
656,October 18 2001,12579,Not Full
657,October 19 2001,12359,Not Full
658,October 20 2001,8747,Not Full
659,October 21 2001,7506,Not Full
660,October 22 2001,11705,Not Full
661,October 23 2001,12896,Not Full
662,October 24 2001,12676,Not Full
663,October 25 2001,12516,Not Full
664,October 26 2001,12296,Not Full
665,October 27 2001,8458,Not Full
666,October 28 2001,7676,Not Full
667,October 29 2001,11389,Not Full
668,October 30 2001,12534,Not Full
669,October 31 2001,10913,Not Full
670,November 1 2001,12879,Full
671,November 2 2001,12374,Not Full
672,November 3 2001,8572,Not Full
673,November 4 2001,7533,Not Full
674,November 5 2001,11668,Not Full
675,November 6 2001,12662,Not Full
676,November 7 2001,12419,Not Full
677,November 8 2001,12519,Not Full
678,November 9 2001,12416,Not Full
679,November 10 2001,8665,Not Full
680,November 11 2001,7599,Not Full
681,November 12 2001,11670,Not Full
682,November 13 2001,12382,Not Full
683,November 14 2001,12602,Not Full
684,November 15 2001,12936,Not Full
685,November 16 2001,12979,Not Full
686,November 17 2001,8774,Not Full
687,November 18 2001,7495,Not Full
688,November 19 2001,12709,Not Full
689,November 20 2001,13603,Not Full
690,November 21 2001,12167,Not Full
691,November 22 2001,7513,Not Full
692,November 23 2001,9594,Not Full
693,November 24 2001,8100,Not Full
694,November 25 2001,7456,Not Full
695,November 26 2001,11732,Not Full
696,November 27 2001,13249,Not Full
697,November 28 2001,12516,Not Full
698,November 29 2001,12474,Not Full
699,November 30 2001,12019,Full
700,December 1 2001,8255,Not Full
701,December 2 2001,7385,Not Full
702,December 3 2001,11548,Not Full
703,December 4 2001,12605,Not Full
704,December 5 2001,12609,Not Full
705,December 6 2001,12188,Not Full
706,December 7 2001,11693,Not Full
707,December 8 2001,8372,Not Full
708,December 9 2001,7498,Not Full
709,December 10 2001,11655,Not Full
710,December 11 2001,12798,Not Full
711,December 12 2001,12884,Not Full
712,December 13 2001,12230,Not Full
713,December 14 2001,12405,Not Full
714,December 15 2001,8615,Not Full
715,December 16 2001,7432,Not Full
716,December 17 2001,12392,Not Full
717,December 18 2001,13657,Not Full
718,December 19 2001,13404,Not Full
719,December 20 2001,13871,Not Full
720,December 21 2001,13530,Not Full
721,December 22 2001,9062,Not Full
722,December 23 2001,7245,Not Full
723,December 24 2001,7626,Not Full
724,December 25 2001,6603,Not Full
725,December 26 2001,11040,Not Full
726,December 27 2001,14151,Not Full
727,December 28 2001,14235,Not Full
728,December 29 2001,9563,Not Full
729,December 30 2001,7840,Full
730,December 31 2001,10272,Not Full
731,January 1 2002,7927,Not Full
732,January 2 2002,10723,Not Full
733,January 3 2002,12465,Not Full
734,January 4 2002,12671,Not Full
735,January 5 2002,8902,Not Full
736,January 6 2002,7647,Not Full
737,January 7 2002,11548,Not Full
738,January 8 2002,12515,Not Full
739,January 9 2002,11654,Not Full
740,January 10 2002,12596,Not Full
741,January 11 2002,12276,Not Full
742,January 12 2002,8591,Not Full
743,January 13 2002,7471,Not Full
744,January 14 2002,11530,Not Full
745,January 15 2002,12369,Not Full
746,January 16 2002,11996,Not Full
747,January 17 2002,12412,Not Full
748,January 18 2002,12251,Not Full
749,January 19 2002,8434,Not Full
750,January 20 2002,7462,Not Full
751,January 21 2002,10921,Not Full
752,January 22 2002,12361,Not Full
753,January 23 2002,12252,Not Full
754,January 24 2002,12549,Not Full
755,January 25 2002,12069,Not Full
756,January 26 2002,8530,Not Full
757,January 27 2002,7510,Not Full
758,January 28 2002,11354,Full
759,January 29 2002,12215,Not Full
760,January 30 2002,12146,Not Full
761,January 31 2002,12125,Not Full
762,February 1 2002,12130,Not Full
763,February 2 2002,9021,Not Full
764,February 3 2002,7442,Not Full
765,February 4 2002,11412,Not Full
766,February 5 2002,12488,Not Full
767,February 6 2002,12210,Not Full
768,February 7 2002,12418,Not Full
769,February 8 2002,12444,Not Full
770,February 9 2002,8706,Not Full
771,February 10 2002,7569,Not Full
772,February 11 2002,11547,Not Full
773,February 12 2002,12779,Not Full
774,February 13 2002,12069,Not Full
775,February 14 2002,13062,Not Full
776,February 15 2002,12548,Not Full
777,February 16 2002,8710,Not Full
778,February 17 2002,7484,Not Full
779,February 18 2002,10907,Not Full
780,February 19 2002,12262,Not Full
781,February 20 2002,12817,Not Full
782,February 21 2002,12384,Not Full
783,February 22 2002,12667,Not Full
784,February 23 2002,8639,Not Full
785,February 24 2002,7488,Not Full
786,February 25 2002,11547,Not Full
787,February 26 2002,12487,Not Full
788,February 27 2002,12303,Full
789,February 28 2002,12370,Not Full
790,March 1 2002,12388,Not Full
791,March 2 2002,8507,Not Full
792,March 3 2002,7624,Not Full
793,March 4 2002,11661,Not Full
794,March 5 2002,12678,Not Full
795,March 6 2002,12372,Not Full
796,March 7 2002,12525,Not Full
797,March 8 2002,12244,Not Full
798,March 9 2002,8606,Not Full
799,March 10 2002,7633,Not Full
800,March 11 2002,11197,Not Full
801,March 12 2002,12667,Not Full
802,March 13 2002,12031,Not Full
803,March 14 2002,12583,Not Full
804,March 15 2002,12472,Not Full
805,March 16 2002,8696,Not Full
806,March 17 2002,7680,Not Full
807,March 18 2002,11621,Not Full
808,March 19 2002,12674,Not Full
809,March 20 2002,12577,Not Full
810,March 21 2002,12502,Not Full
811,March 22 2002,12252,Not Full
812,March 23 2002,8569,Not Full
813,March 24 2002,7419,Not Full
814,March 25 2002,11507,Not Full
815,March 26 2002,12840,Not Full
816,March 27 2002,12568,Not Full
817,March 28 2002,12454,Full
818,March 29 2002,11449,Not Full
819,March 30 2002,8270,Not Full
820,March 31 2002,7083,Not Full
821,April 1 2002,10264,Not Full
822,April 2 2002,12884,Not Full
823,April 3 2002,12372,Not Full
